entry	  دەم	زارک	دەرگانە	دەروو	ناڤدەر	درگا	دەرک	رێڕەو	پێشەکی	دەسپێک	لێما	لێمە	سەرواژە	سەروشە
catch	  گرتن	گیرخستن	گەیشتن	وەچەنگ خستن	هەڵقۆستنەوە	ڕاوکردن	ئەسیرکردن							
mythology	  دیرۆکناسی	ئەفسانەناسی	ئوستوورەناسی	میتۆلۆژی	کۆمەڵه ئەفسانه	دیرۆک	ئوستوورە							
tool	  ئامراز	ئامێر	هامراز	ئاڵات	ئەسپاو	کەرەستە	ئاموور							
disarray	  پشێوکردن	شێواوکردن	پشێو	شێواو	شپڕێو	تێکەڵ پێکەڵ	ئاڵۆزباڵۆز							
household	  خێزان	بنەماڵە	ماڵ	پێداویستیی ماڵ	ماڵی	خۆمانە	ئاسایی							
daze	  سەرلێشێواندن	واق وڕماندن	سەرسامکردن	مڕی	ماقی	چاوزەقی	وڕی							
abstract	  واتایی	مەعنەوی	دەرهەست	ئەبستراکت	ناخۆیا	ناپتەوه	هەڵماڵیاو							
cheer	  هاندان	دڵگەرم کردن	بالۆرەلێدان	هەلهەلە	هۆتاڤ	هوورا	هوڕا							
happen	  روودان	هاتنەپێش	هەڵکەوتن	ئەنجام بوون	دەرکەوتن	بوون	هاتنە بوون							
operate	  کارکردن	ئیش کردن	ئیش پێکردن	خستنەکار	خستنەگەڕ	نەشتەری کردن	نەشتەرگەری کردن							
grace	  دوعاو سوپاسی په‌روه‌ردگار کردن پێش نان خواردن	چاکه‌و پیاوه‌تی	کاتی زیاده‌( مۆڵه‌ت ) دان به‌که‌سیک بۆ ئه‌وه‌ی بتوانێت پاره‌ی قه‌رزه‌کانی بدا	له‌نجه‌ولار	ناسک	به‌خشین	نووسینی وه‌ک ناونیشان له‌کاتی ناوهێنانی قه‌شه‌ و شازاده‌ دا							
hunger	  برسێتی	برسی بوون	تامەزرۆیی	ویستن	خواستن	تاسە	مەراق							
mood	  دۆخ	لۆر	مەیل	دەس و دڵ	گوردوهۆگر	باری دەروونی	مگێز							
merit	  بەها	بایی	چاکە	باشی	شیاوی	شیان	لەبارابوون							
qualify	  لەباربوون	لێهاتن	گونجان	شیان	سەرکەوتن	شارەزابوون	لێڕاهاتن							
lean	  پاڵدانەوە	خواربوونەوە	لاربوونەوە	پشت پێ بەستن	کەم	حەزلێبوون	لاواز							
reserve	  گەنجینە	یەدەگ	پەزمەندە	پاشکەوتکردن	تەرخانکردن	دابینکردن	گرتنەوە							
communicate	  پێوەندی گرتن	دوان	وتووێژ	گۆڕینەوەی زانیاری	ڕاگەیاندن	پێوەندی	کەین و بەین							
colony	  داگیرکراو	ژێرچەپۆکە	کۆڵۆنی	کۆچەرگا	مەژیرگە	جڤاک	کۆڕ							
course	  خول	ئاراستە	ئاست	ژەم	بوار	شوێنی یاری گۆڵف	کۆرس							
green	  سەوز	کەسک	ڕەنگی سەوز	ئەندامی حیزبی سەوزەکان	سەوزە	کەمئەزموون	کرچوکاڵ							
inheritance	  میراتی	هشتە	مەردەڵا	جێماوە	پاشماوە	کەلەپوور	کالکی							
squander	  بەفیرۆدان	هەرژاندن	هەڕش	هەڵەخەرجی	بێهوودەخەرجکردن	پارە بە هەدەر دان	کات کوشتن							
bite	  گەستن	قەپ گرتن	قەپاڵتە لێدان	پێوەدان	پاروو	گاز	قەپ							
fastness	  خێرایی	گورجی	قایمی	بێ مه‌ترسی	مه‌ڵبه‌ند	لانه‌	قاڵا							
hollow	  بۆش	ناوبۆش	بەتاڵ	قووڵکە	چاڵایی	درۆ	فێڵباز							
flash	  ترووسکانەوە	بریقەدان	تیشکدانەوە	تیشک	بریقە	بڕوسکە	فلاش							
swell	  پەنەمان	ماسین	هەڵمسان	ئاوسان	باکردن	بەرزبوونەوە	شەپۆل							
explain	  روون کردنەوە	هەراوکردن	ئاوەڵە کردن	بەرفرە کردن	شرۆڤە کردن	لێکدانەوە	شیکردنەوە							
facilitate	  ئاسانکاری دەکات	کارئاسانی دەکات	سانا دەکات	سادە دەکات	ساکار دەکات	یامەتی دەدات	شیتەڵ دەکات							
form	  شکڵ پێدان	فۆڕم پێدان	پێکهێنان	سازدان	داڕشت	فۆرم	شێوە							
rage	  هەڵچوون	تووڕەیی زۆر	قەڵسی	لەپێست دەچوون	ڕابوون	سەرکێشی	سەرکێشی توند و لەپڕڕا							
issue	  بڵاوکردنەوە	دەرچوون	دەرکردن	ژمارە	بابەت	باس	سووژە							
regard	  گرنگی دان	بایەخ دان	ڕەچاوکردن	ئاوڕلێدانەوە	تێڕوانین	ڕیز	سڵاو							
slide	  خزان	خزین	خلیسکان	هەڵخلیسکان	لووس	سەروژێر	سلاید							
top	  لووتکە	پۆپە	سەرتۆپ	باشترین	بەرزترین	سەرەوە	ژوور							
figure	  شێوە	پەیکەر	وێنە	کۆتەڵ	وێناکردن	هێنانەبەرچاو	ژماردن							
seam	  درز	چاک	تڵیش	تەقەڵ	هێڵی درومان	ڕەگەی کان	ڕینچ							
treasure	  جەزنەدار	گەنج	گەنجینە	سامانی زۆر	هێژا	خۆشەویست	رێزگرتن							
perfect	  تەواو	بێ کەم و کووڕی	بێ کەمایەسی	گونجاو	تەواو کردن	نەهێشتنی کەم و کووڕی	رابردووی دوور							
handle	  دەسک	دەسگیرە	هەنگڵ	دەسکە	چارەکردن	دەست لێدان	دەکارهێنان							
resist	  بەرگری کردن	خۆگرتن	خۆڕاگری	بەرەنگاری	پایداری	بەربەرەکانی	دەستکردنەوە							
appeal	  گازندە	پاڕانەوە	داواکاری	سەرنج ڕاکێشان	گازنده له حوکمێک کردن	شکاتکردن	داوای سەر لە نوێ پێداچوونەوە							
maker	  دروستکەر	چێکەر	سازێنەر	بنیاتنەر	داهێنەر	پێکهێنەر	دانەر							
disintegrate	  وردبوون	ڕزان	پتورکان	تێکشکان	ورودوخاشبوون	داڕزان	دافەرەکیان							
process	  قۆناخ	دۆخ	پرۆسە	ڕەوت	ئەنجام دان	جێبەجێ کردن	خەریک بوون							
lecture	  وتار	وانە وتنەوە	وتاردان	پەیڤین	سەرزەنشت کردن	بۆڵاندن	خوتەکردن							
luck	  شانس	بەخت	کابەشاک	تاڵە	تالح	هاتە	خواپێدان							
party	  ئاهەنگ	بەزم	میوانی	بەش	لایەن	پارت	حیزب							
bed	  جێگەوبان	پێخەف	نوێن	بەستێن	لەپ	بەر	چەقاندن							
hardship	  سەختی	دژواری	گرفت	کێشە	تەنگ و چەڵەمە	بەڵا	چەرمەسەری							
relieve	  حەواندنەوە	هێورکردنەوە	پشووپێدان	دڵدانەوە	سوکنایی پێدان	ئازادکردن	جێگۆڕکێ							
shake	  ڕاوەشاندن	هەژاندن	لەراندنەوە	لەرینەوە	هەلاجان	لەرزین	تەوقە کردن							
molest	  زەلانەوە	لەکۆڵنەبوونەوە	ئازاردان	زیان پێگەیاندن	دەست تێوەردان	تەنگ پێهەڵچنین	تەنگاوکردن							
even	  جووت	تەخت	رێک	وەک یەک	بەرامبەر	لەگەڵ ئەوەی	تەنانەت							
estimate	  خەملاندن	هەزیرکردن	نرخاندن	نەهاندن	خەرسانن	مەزندە کردن	تەخمین							
fall	  کەوتن	داکەوتن	بارین	وەرین	گەڵاڕێزان	پاییز	تاڤگە							
treason	  خیانەت	غەیانی	خیانەت بە وڵات	پەیمان شکێنی	غەدداری	کامباخی	پیلان							
capital	  پایتەخت	سەرمایە	دەستمایه	مایه	سەرکۆڵەکە	سەرئەستوون	پیتی گەورە							
defeat	  بەزاندن	لێبردنەوە	دۆڕان	دۆڕاندن	شکان	پێشێل کردن	پێپەس کرن							
equip	  پۆشتەکردن	پەرداخکردن	سازکردن	تەیارکردن	گیڤکردن	بەرهەڤکردن	پڕچەککردن							
thrive	  گەشەسەندن	پەرەسەندن	گەشەکردن	پێشکەوتن	سەرکەوتن	بەکام گەیشتن	بەئاوات گەیشتن							
hurry	  پەلە کردن	لەزین	خێرایی	تاڵووکە	لەز	هەڵپە	بەلەسەبوون							
conduct	  گەیاندن	ڕاگواستن	ڕابستن	جوڵانەوە	ڕەفتارکردن	ڕێنوێنی کردن	بەڕێوەبردن							
abide	  مانەوە	نەگۆڕان	خایاندن	دواکەوتن	شوێن کەوتن	نیشتەجێ بوون	بەرگەگرتن							
stand	  بنکە	هەڵگر	سێپا	وەستان	ڕاوەستان	مانەوە	بەرگەگرتن							
paint	  دیمەنکێشان	وێنەکێشان	نیگارکێشان	ڕەنگاریکردن	کێشانەوە	بۆیە کردن	بۆیە							
gist	  پوخته‌	داڕشتن	بیروڕا	لوب	ناوه‌رۆک		بنچینه‌و هۆی داوایه‌ک له‌ دادگا							
miss	  وونکردن	لەدەستدان	هەڵەنەکردن	لەکیسچوون	فریانەکەوتن	بیرکردن	بزرکردن							
effect	  کاریگەری	شوێنکار	ستین	توان	ئاوزان	هێز	بڕی وزە							
opinion	  ڕا	مەبەست	تێڕوانین	بیروڕا	بۆچوون	ڕوانگە	بڕوا							
blow	  پێیاکێشان	لێدان	فووکردن	فووپێیاکردن	زرمە	زەبر	با							
mine	  مین	کان	کانگا	هەڵکۆڵینی کان	دەرهێنانی کانزا	ئی من								
endure	  بەرگەگرتن	خۆڕاگرتن	ئارامگرتن	کۆڵنەدان	دەرۆست هاتن	ئۆقرەگرتن								
cook	  لێنان	پێژان	پێتن	چێشت لێنان	کوڵاندن	ئاشپەز								
like	  خۆشەویستن	حەزلێکردن	وێکچوون	لێکچوون	وەک یەک	وەکوو								
promote	  بەرزکردنەوە	سەرخستن	هاندان	برەوپێدان	باوکردن	وەڕمێن خستن								
harvest	  دروێنە	درەو	بەرهەم	خەلە	خەرمان	وەرزی دروێنە								
intend	  بیردەکاتەوە	پێیوایە	بەواتای	لەوڕووەوە	بڕیاردان	ویستن								
roam	  سووڕانەوە	خولانەوە	بێکارخولانەوە	کۆڵان گەڕی	هەڵوەدایی	وێڵبوون								
stop	  وەستاندن	ڕاگرتن	وەستان	بڕین	ڕاوەستان	وێستگە								
pass	  دەرچوون	سەرکەوتن	تێپەڕین	پێدان	دەرکردن	وشەی تێپەربوون								
dance	  هەڵپەڕکێ	داوەت	سەما	شایی	ڕەقس	وڕپڕای								
suppose	  پێ وابوون	وادانان	وازانین	واتێگەشتن	گریمان	واپێویست کردن								
mob	  قەرەبالغی	ئاپۆڕە	قەرەپەستان	شەلاتی	لات و لووت	هەڵقەتڕان								
guess	  پێشبینی کردن	زانین	دۆزینەوە	خەمڵاندن	هەڵدان	هێنانە پێش چاو								
offensive	  ڕەنجێنەر	ناخۆش	هێرشبەرانە	سووکانە	بێ ئەدەبانە	هێرش								
thrust	  تێ پەستان	ڕاپۆڕاندن	تێ ئاخنین	پاڵ پێوەنان	فڕێدان	هاویشتن								
fellow	  کابرا	کاورا	مێرک	فڵان	کەس	هاوڕێ								
bar	  مەیخانە	تووڵ	شریت	چیلکە	رێگرتن	نەهێشتن								
pertain	  بەسراو بوون بە	لکان بە	پەیوەندیدار بوون بە	کەللەڕەق	سوور	نەگۆڕ								
recover	  دۆزینەوە	دیتنەوە	وەدەست هێنانەوە	وەدەست خستنەوە	چاک بوونەوە	نۆژەن کردنەوە								
spread	  بڵاوکردنەوە	تەشەنەکردن	پانکردنەوە	ڕاخستن	بەرینکردن	ناودەرکردن								
conflict	  کێشەوبەره	ململانێ	پێکادان	ناتەبای	ناکۆکی	ناسازی								
ruin	  وێرانکاری	کاولە	داڕمان	تێکدان	خراپ کردن	نابوت کردن								
fortune	  بەخت	شانس	سامان	دارایی	سەرمایە	مەلەسەک								
humor	  جەفەنگبازی	قسە خۆشی	گاڵتەکەری	گاڵتە و گەپ	راوێژوڕوو	مەزاج								
mortal	  بمر	مردنی	هی مردن	کوشندە	مرێنەر	مەرگهێن								
menace	  هەڕشەلێکردن	تۆقاندن	ترساندن	چاوترسێن کردن	هەڕەشە	مەترسی								
burden	  بار	قورسایی	لێپرسراوێتی	کۆڵ قورس کردن	بار گرانکردن	مناڵ لە ناو ڕەحم								
break	  شکاندن	شکان	پشوودان	کۆتایی پێهێنان	پشوو	ماوە								
collapse	  داڕمان	تێکڕمین	تێکقورمان	تێکڕووخان	تێکتەپین	لەناوچوون								
burst	  تەقینەوە	تەقاندنەوە	سەرهەڵدان	هاتنەکایەوە	شکاندن	لەدووی یەک								
cool	  فێنک	چایگ	سارد(ساردی خۆش)	هێورکردنەوە	خوێنسارد	لەبەردڵان								
follow	  شوێن کەوتن	وەدووکەوتن	گوێڕایەڵی	فەرمان بردن	تێگەیشتن	لە خوارەوە باسکران								
flow	  تێ ڕژان	ڕەوان بوون	ڕۆیشتنی ئاو	ڕێڕەو	تەوژم	لێشاو								
incident	  رووداو	پێشهات	بووبەر	هاتوو	پاڵەکی	لاوەکی								
vicinity	  هاوسێیەتی	دراوسێیەتی	نزیکی	دەوروبەری	نزیکەی	گەڕەک								
captive	  زیندانی	دیڵ	یەخسیر	ئەسیر	بەندکراو	گیراو								
hear	  بیستن	گوێ لێ بوون	ژنەفتن	گوێ بیست بوون	بە گوێ کردن	گوێ شل کردن								
accelerate	  تاودان	لەزپێدان	گوڕپێدان	تاوسەندن	لەزگرتن	گوڕگرتن								
take	  هێنان	بردن	وەرگرتن	ویستن	خواردن	گرتن								
initiate	  داهێنان	بناخەدانان	داڕشتن	دەست پێکردن	ناشی	کەم ئەزموون								
minor	  بچووک	کەم	کەمتەمەن	مێرمنداڵ	لاو	کەم بەها								
control	  چاودێری	ئاگالێبوون	بەرداین	سەرپەرشتی	پشکنین	کۆنتڕۆڵ								
last	  خایاندن	بەردەاوم بوون	دوایین	دواجار	تازەترین	کۆتایی								
wad	  ئاخنە	ناوئاخن:کۆنە	لباد	ئاخنین	تۆپەڵ	کورتکراوەی world aids day کە رۆژی جیهانی ئایدزە								
mate	  هاوڕێ	جووت بوون	خستنەپاڵ یەک	کەڵ گرتن	تاک	کش ومات								
plain	  سادە	ڕوون	ئاشکرا	ڕاشکاو	دەشت	کاکی								
film	  فیلم گرتن	فیلم هەڵگرتنەوە	فیلم	فلیم	پەردەی ناسک	کاژی								
shout	  قیژاندن	زیقاندن	قوولاندن	هاوار	قیڕە	قیژە								
set	  دەستە	کۆمەڵە	تاقم	دانان	جێگیرکردن	قورمیش کردن								
fawn	  کلکه‌له‌قێبۆکردن	مه‌رایکردن	ماستاوکردن	به‌ده‌وروقندا هاتن	به‌چکه‌ئاسک	قاوه‌یی یه‌کی کاڵ								
hit	  لێدان	زەبر	سەرکەوتن	پێکان	سەرکەوتوو	فیلم یا ئاهەنگی زۆر سەرکەوتوو								
craft	  کاردەستی	پیشە	سەنعەت	هونەر	شارەزایی	فێڵ								
clash	  پێکدادان	لێکدان	تێک ئەنگوان	بەرەنگاربوونەوە	جەنگ	شەڕ								
refuse	  وەرنەگرتن	رەت کردنەوە	نەویستن	دەست پێوەنان	نەویستراو	شەخەڵ								
food	  خواردەمەنی	چێشت	خۆراک	چەرە	واردە	شێو								
shock	  ڕاتەکان	ڕاچڵەکان	ڕاچڵەکاندن	داخورپان	حەبەسان	شۆک								
pursue	  شوێن کەوتن	وەدووکەوتن	بەدووداڕۆیشتن	وەدوونان	پەیجۆری	شوێنگری								
trouble	  ئازاردان	تووش کردن	شیواندن	رەنج	زەحمەت	شڵەژان								
lose	  ون کردن	بزر کردن	گم کردن	لە دەست دان	دۆڕاندن	شکست خواردن								
venture	  سەرەڕۆیی کردن	سەرکەشی کردن	وێران	ورە	مامەڵەی مەترسیدار	سەودای پڕمەترسی								
chief	  سەرۆک	گەورە	فەرماندە	گرینگ	گرنگ	سەرەکی								
funeral	  ناشتن	وەشارتن	رێوڕەسمی ناشتن	پرسە	ماتەم	سەرەخۆشی								
outbreak	  نەهامەتی	کارەسات	ئاژاوە	هەڵچوون	بەرپابوون	سەرهەڵدان								
comprehend	  تێگەیشتن	تێگەیین	پەی پێبردن	فامین	سەرلێدەرکردن	سەردەرێنان								
trace	  شوێن هەڵگرتن	پەی	نیشانە	شوێن دەکەوێت	وێنە دەکێشێت	سۆراخ								
period	  لەوماوەیەدا	ماوە	دەم	کات	سەردەم	سوڕی مانگانە								
whirl	  گێژاو	بادان	دەخولێتەوە	دەسوڕێتەوە	خولانەوە	سوڕانەوە								
vigor	  ورە	هێز	تین	تاب	تابشت	ستین								
compensation	  قەرەبوو	تۆڵ	تێهەڵێنانەوە	بژاردن	ڕاستکردنەوە	ساخکردنەوە								
security	  پاراستن	ئاسایش	دەستەبەری	ئۆدەگری	ئەستۆگری	زەمانەت								
addition	  کۆ	کۆکردنەوه	سەربارکردن	خستنەسەر	زیاد	زێده								
receipt	  دڤانەک	فیش	وەسڵ	پسوولە	وەرگرنامە	ڕەسید								
beauty	  جوانی	قەشەنگی	شەنگی	جوان چاکی	جوان خاسی	دەلالی								
sink	  نوقم بوون	ژێرئاوکەوتن	ڕۆچوون	بەربوونەوە	دابەزین	دەسشۆر								
right	  هەق	ماف	ڕاست	دروست	کارێکی ڕاست	دەستە ڕاست								
solid	  ڕەق	پتەو	ناوپڕ	ڕەقە	ڕەقی	دۆخی ڕەقی								
feller	  هاوڕێ	براده‌ر	ئاوه‌ڵ	دانه‌یه‌ک له‌ جووتی شت	قوتابی زانکۆ که‌ یارمه‌تی دارایی درابێت	دڵدار								
creation	  ئافراندن	داهێنان	دامەزراندن	ئافران	پەیدابوون	دروستکردن								
grant	  هێشتن	ڕێگەدان	بواردان	بەخشین	یارمەتی	دانپێنان								
gape	  ده‌م داچه‌قاندن (باوێشک	برسێتی	چاوتێبڕین به‌ ده‌م داچه‌قاوی له‌سه‌رسامی دا	ئه‌بڵه‌ق بوون	کردنه‌وه‌	داپچڕاندن								
